gene_symbol	regulation	STRING_id
CCR7	Down	9606.ENSP00000246657
CD79B	Down	9606.ENSP00000376544
VPREB3	Down	9606.ENSP00000248948
MAL	Down	9606.ENSP00000310880
HLA-DQB1	Down	9606.ENSP00000364080
CD6	Down	9606.ENSP00000323280
IL7R	Down	9606.ENSP00000306157
C16ORF30	Down	9606.ENSP00000454945
NELL2	Down	9606.ENSP00000416341
PASK	Down	9606.ENSP00000351475
ID3	Down	9606.ENSP00000363689
GRAP	Down	9606.ENSP00000284154
LEF1	Down	9606.ENSP00000265165
ITK	Down	9606.ENSP00000398655
CD79A	Down	9606.ENSP00000221972
TNFRSF25	Down	9606.ENSP00000367013
GZMK	Down	9606.ENSP00000231009
